'599', '642', '7', '4'
'295', '642', '305', '46'
'604', '618', '49', '23'
'471', '596', '19', '6'
'435', '589', '11', '3'
'444', '587', '51', '13'
'410', '586', '55', '22'
'385', '585', '292', '115'
'498', '585', '22', '8'
'477', '582', '34', '12'
'437', '582', '66', '17'
'84', '579', '108', '39'
'456', '574', '75', '19'
'495', '571', '44', '18'
'475', '563', '78', '23'
'490', '558', '63', '19'
'513', '554', '58', '26'
'542', '552', '35', '20'
'523', '548', '60', '31'
'538', '545', '49', '28'
'559', '539', '43', '26'
'543', '532', '64', '39'
'575', '523', '56', '29'
'571', '520', '55', '39'
'581', '514', '58', '33'
'56', '513', '621', '187'
'263', '483', '6', '3'
'220', '482', '12', '5'
'258', '481', '10', '5'
'127', '478', '34', '14'
'297', '477', '15', '10'
'314', '471', '13', '7'
'158', '467', '96', '23'
'118', '459', '100', '29'
'337', '455', '7', '5'
'353', '452', '6', '3'
'289', '447', '8', '5'
'262', '447', '40', '26'
'281', '430', '6', '6'
'262', '427', '31', '21'
'99', '425', '44', '53'
'275', '422', '7', '6'
'339', '417', '14', '17'
'273', '416', '4', '4'
'300', '407', '1', '1'
'266', '406', '5', '5'
'301', '397', '5', '12'
'244', '396', '146', '89'
'328', '395', '4', '4'
'285', '385', '34', '36'
'254', '384', '13', '18'
'323', '382', '5', '9'
'253', '381', '4', '4'
'387', '377', '3', '4'
'315', '375', '7', '6'
'244', '372', '9', '6'
'62', '365', '44', '72'
'384', '362', '4', '5'
'328', '362', '48', '39'
'327', '362', '16', '16'
'240', '362', '8', '8'
'319', '360', '69', '47'
'61', '357', '2', '3'
'236', '354', '7', '7'
'299', '350', '17', '23'
'230', '345', '8', '7'
'297', '343', '8', '8'
'299', '336', '67', '44'
'292', '334', '4', '4'
'201', '328', '32', '32'
'220', '321', '5', '6'
'244', '317', '35', '36'
'345', '314', '22', '45'
'216', '313', '4', '4'
'281', '305', '63', '35'
'212', '303', '4', '5'
'355', '302', '3', '9'
'342', '299', '4', '5'
'274', '299', '5', '5'
'209', '294', '3', '4'
'354', '291', '4', '4'
'271', '291', '4', '4'
'205', '286', '4', '4'
'267', '283', '4', '3'
'265', '277', '91', '56'
'202', '277', '3', '3'
'184', '277', '35', '59'
'264', '275', '4', '3'
'199', '267', '4', '4'
'196', '259', '4', '4'
'193', '248', '4', '4'
'212', '243', '36', '36'
'191', '241', '4', '3'
'108', '235', '86', '47'
'189', '231', '4', '4'
'187', '222', '4', '4'
'337', '220', '4', '7'
'185', '214', '3', '4'
'234', '213', '20', '30'
'243', '213', '5', '4'
'333', '206', '5', '9'
'241', '204', '4', '4'
'183', '204', '3', '4'
'295', '195', '26', '10'
'180', '195', '4', '4'
'179', '186', '3', '4'
'319', '184', '26', '90'
'250', '179', '34', '38'
'259', '178', '68', '109'
'243', '178', '9', '28'
'176', '176', '4', '5'
'191', '167', '36', '36'
'174', '167', '3', '4'
'117', '162', '33', '24'
'172', '158', '4', '4'
'232', '156', '4', '4'
'298', '154', '11', '40'
'237', '150', '5', '12'
'114', '149', '34', '20'
'169', '148', '4', '4'
'31', '147', '74', '61'
'320', '142', '17', '40'
'167', '138', '4', '5'
'223', '135', '61', '38'
'166', '125', '4', '8'
'137', '125', '35', '61'
'228', '124', '29', '26'
'319', '122', '9', '12'
'165', '119', '3', '4'
'329', '109', '7', '10'
'189', '99', '18', '14'
'161', '99', '4', '3'
'13', '95', '3', '19'
'160', '89', '4', '4'
'176', '87', '53', '35'
'57', '86', '13', '13'
'66', '85', '41', '17'
'237', '84', '8', '11'
'103', '82', '14', '8'
'91', '77', '53', '23'
'9', '77', '7', '34'
'160', '73', '4', '9'
'139', '69', '49', '25'
'204', '67', '3', '1'
'1', '64', '648', '552'
'231', '58', '4', '3'
'168', '45', '90', '62'
'220', '41', '18', '14'
'209', '41', '21', '10'
'190', '41', '3', '2'
'183', '41', '7', '4'
'193', '40', '9', '8'
'225', '39', '34', '20'
'251', '37', '12', '6'
'164', '25', '153', '100'
'325', '20', '17', '64'
