'849', '744', '35', '8'
'876', '741', '7', '6'
'843', '740', '5', '3'
'782', '736', '32', '10'
'912', '725', '10', '21'
'830', '723', '18', '25'
'750', '719', '32', '21'
'1024', '714', '7', '5'
'716', '714', '33', '19'
'680', '714', '36', '12'
'990', '706', '13', '25'
'1030', '694', '3', '19'
'582', '694', '14', '19'
'629', '692', '51', '29'
'532', '685', '47', '30'
'480', '683', '11', '18'
'1133', '669', '15', '14'
'1004', '663', '91', '25'
'1062', '634', '122', '76'
'783', '619', '392', '72'
'783', '616', '38', '63'
'894', '611', '8', '1'
'820', '611', '9', '6'
'903', '609', '34', '5'
'808', '604', '10', '6'
'439', '602', '344', '81'
'813', '600', '7', '8'
'441', '599', '58', '20'
'805', '591', '7', '4'
'842', '588', '6', '6'
'796', '586', '9', '5'
'757', '585', '26', '7'
'798', '584', '25', '19'
'776', '576', '6', '6'
'1027', '574', '131', '43'
'783', '574', '4', '2'
'978', '570', '176', '42'
'620', '552', '18', '9'
'850', '547', '4', '7'
'859', '540', '7', '9'
'606', '540', '545', '141'
'437', '538', '3', '45'
'750', '533', '53', '40'
'858', '526', '10', '16'
'776', '521', '23', '22'
'774', '509', '8', '10'
'826', '506', '44', '33'
'880', '505', '3', '5'
'860', '502', '16', '28'
'780', '502', '42', '36'
'448', '498', '365', '104'
'918', '485', '22', '19'
'847', '485', '32', '19'
'927', '484', '6', '9'
'446', '479', '349', '111'
'541', '474', '12', '14'
'880', '459', '27', '18'
'887', '457', '4', '4'
'511', '456', '15', '26'
'454', '454', '4', '24'
'731', '452', '8', '8'
'819', '448', '34', '43'
'699', '447', '22', '22'
'486', '447', '9', '13'
'735', '444', '65', '38'
'888', '442', '292', '183'
'490', '439', '21', '39'
'679', '430', '64', '58'
'713', '429', '3', '4'
'781', '428', '5', '5'
'710', '426', '24', '25'
'736', '420', '199', '149'
'459', '420', '6', '17'
'852', '415', '5', '5'
'835', '402', '10', '19'
'832', '398', '11', '21'
'825', '375', '10', '11'
'733', '365', '7', '8'
'639', '363', '88', '55'
'735', '359', '22', '27'
'751', '356', '73', '87'
'665', '356', '8', '14'
'666', '352', '13', '16'
'638', '351', '23', '22'
'719', '349', '12', '5'
'610', '342', '196', '154'
'798', '341', '37', '51'
'614', '335', '59', '55'
'718', '332', '15', '13'
'651', '331', '29', '46'
'641', '324', '5', '7'
'636', '314', '7', '20'
'691', '313', '9', '4'
'719', '307', '12', '13'
'704', '306', '21', '28'
'701', '304', '74', '44'
'713', '303', '6', '12'
'707', '295', '5', '12'
'724', '292', '8', '24'
'449', '286', '34', '210'
'703', '285', '20', '18'
'728', '272', '13', '11'
'695', '267', '9', '9'
'691', '267', '5', '7'
'695', '261', '4', '6'
'637', '249', '6', '19'
'587', '249', '25', '33'
'635', '248', '10', '30'
'603', '246', '22', '22'
'588', '235', '12', '13'
'572', '235', '86', '70'
'683', '234', '4', '8'
'627', '234', '11', '39'
'602', '231', '7', '5'
'608', '230', '7', '5'
'617', '229', '5', '4'
'625', '228', '14', '33'
'644', '225', '70', '110'
'583', '223', '105', '62'
'681', '219', '3', '5'
'608', '216', '66', '12'
'669', '214', '11', '10'
'652', '206', '23', '9'
'602', '198', '5', '6'
'702', '196', '26', '36'
'774', '193', '138', '287'
'590', '193', '19', '23'
'715', '191', '12', '11'
'574', '187', '16', '9'
'637', '186', '5', '5'
'598', '186', '6', '4'
'552', '184', '4', '4'
'565', '183', '6', '9'
'544', '181', '7', '4'
'535', '180', '6', '4'
'620', '179', '20', '11'
'718', '176', '19', '15'
'624', '176', '40', '13'
'496', '176', '14', '7'
'574', '175', '51', '22'
'494', '168', '48', '10'
'439', '168', '5', '5'
'456', '165', '34', '16'
'442', '164', '22', '17'
'423', '162', '759', '549'
'406', '158', '22', '10'
'721', '138', '17', '10'
'684', '130', '95', '60'
