257,236,10,3
225,235,3,4
206,234,4,5
369,232,9,7
230,232,5,7
298,231,15,8
262,231,5,5
233,231,7,8
151,230,7,9
96,230,6,9
359,229,15,10
84,229,11,10
100,227,5,2
58,226,15,13
132,225,15,14
259,224,34,15
183,224,21,15
324,222,13,14
108,220,28,19
146,219,8,9
113,219,4,7
179,217,7,22
48,217,3,11
375,216,25,23
332,216,6,4
145,216,20,23
209,214,69,25
217,214,3,2
164,214,9,5
250,213,2,1
301,209,23,6
229,208,9,4
216,206,8,13
373,205,27,26
151,202,28,37
201,200,17,39
89,200,17,34
46,198,11,41
145,194,17,14
385,193,12,12
235,193,65,19
74,193,19,39
299,192,7,9
53,191,7,6
225,190,9,5
164,190,41,37
169,187,41,13
285,184,52,27
112,184,25,8
381,183,19,22
208,183,17,9
172,183,5,4
199,179,8,5
282,177,56,9
158,177,164,62
48,177,11,31
337,176,63,63
50,176,20,48
248,174,35,27
191,174,6,6
59,172,10,15
261,170,77,11
257,166,66,5
81,166,19,10
52,164,63,75
170,163,20,11
238,161,8,14
76,160,38,9
56,160,20,17
241,159,96,56
221,158,17,3
77,158,29,5
106,157,3,1
237,153,8,7
183,152,53,20
303,145,36,28
143,140,40,10
135,139,21,4
89,136,25,17
287,134,1,1
290,129,5,8
69,128,6,8
67,122,12,12
294,121,5,12
133,121,43,18
284,120,4,5
365,118,3,4
57,115,14,15
298,114,4,9
102,114,22,23
51,112,7,11
299,111,1,2
49,107,7,9
140,106,43,32
67,103,6,6
41,100,12,14
56,96,10,7
50,90,8,6
115,89,5,7
105,89,5,6
31,89,2,2
121,88,10,9
86,88,18,5
26,86,130,141
135,80,37,22
29,79,98,64
386,65,14,15
285,64,100,143
127,53,47,44
245,0,85,161
96,0,218,199
172,0,55,103
257,236,10,3
225,235,3,4
206,234,4,5
369,232,9,7
230,232,5,7
298,231,15,8
262,231,5,5
233,231,7,8
151,230,7,9
96,230,6,9
359,229,15,10
84,229,11,10
100,227,5,2
58,226,15,13
132,225,15,14
259,224,34,15
183,224,21,15
324,222,13,14
108,220,28,19
146,219,8,9
113,219,4,7
179,217,7,22
48,217,3,11
375,216,25,23
332,216,6,4
145,216,20,23
209,214,69,25
217,214,3,2
164,214,9,5
250,213,2,1
301,209,23,6
229,208,9,4
216,206,8,13
373,205,27,26
151,202,28,37
201,200,17,39
89,200,17,34
46,198,11,41
145,194,17,14
385,193,12,12
235,193,65,19
74,193,19,39
299,192,7,9
53,191,7,6
225,190,9,5
164,190,41,37
169,187,41,13
285,184,52,27
112,184,25,8
381,183,19,22
208,183,17,9
172,183,5,4
199,179,8,5
282,177,56,9
158,177,164,62
48,177,11,31
337,176,63,63
50,176,20,48
248,174,35,27
191,174,6,6
59,172,10,15
261,170,77,11
257,166,66,5
81,166,19,10
52,164,63,75
170,163,20,11
238,161,8,14
76,160,38,9
56,160,20,17
241,159,96,56
221,158,17,3
77,158,29,5
106,157,3,1
237,153,8,7
183,152,53,20
303,145,36,28
143,140,40,10
135,139,21,4
89,136,25,17
287,134,1,1
290,129,5,8
69,128,6,8
67,122,12,12
294,121,5,12
133,121,43,18
284,120,4,5
365,118,3,4
57,115,14,15
298,114,4,9
102,114,22,23
51,112,7,11
299,111,1,2
49,107,7,9
140,106,43,32
67,103,6,6
41,100,12,14
56,96,10,7
50,90,8,6
115,89,5,7
105,89,5,6
31,89,2,2
121,88,10,9
86,88,18,5
26,86,130,141
135,80,37,22
29,79,98,64
386,65,14,15
285,64,100,143
127,53,47,44
245,0,85,161
96,0,218,199
172,0,55,103
