'346', '545', '8', '69'
'268', '545', '18', '13'
'350', '544', '48', '25'
'244', '544', '80', '106'
'472', '540', '6', '11'
'465', '534', '6', '6'
'277', '533', '9', '19'
'366', '531', '7', '5'
'268', '529', '16', '24'
'311', '528', '23', '15'
'445', '526', '7', '26'
'461', '521', '6', '7'
'366', '521', '1', '5'
'298', '521', '44', '26'
'437', '520', '12', '33'
'283', '520', '6', '7'
'267', '520', '1', '4'
'93', '517', '14', '6'
'367', '514', '15', '7'
'293', '513', '21', '45'
'325', '512', '31', '15'
'315', '510', '9', '3'
'38', '510', '44', '14'
'460', '508', '4', '7'
'316', '501', '6', '6'
'427', '492', '29', '108'
'307', '491', '56', '18'
'286', '483', '7', '5'
'456', '478', '15', '54'
'404', '473', '16', '8'
'282', '473', '7', '5'
'277', '464', '8', '4'
'291', '463', '14', '9'
'373', '462', '48', '43'
'356', '460', '66', '89'
'400', '459', '5', '1'
'397', '457', '5', '1'
'374', '457', '23', '17'
'406', '454', '6', '5'
'63', '452', '5', '20'
'400', '451', '1', '1'
'67', '451', '15', '29'
'332', '450', '7', '2'
'400', '449', '1', '1'
'394', '446', '6', '10'
'366', '444', '1', '2'
'398', '440', '13', '17'
'372', '440', '25', '9'
'399', '439', '1', '1'
'350', '436', '80', '448'
'449', '429', '9', '48'
'64', '420', '20', '30'
'17', '418', '48', '33'
'4', '390', '14', '54'
'275', '386', '169', '145'
'444', '385', '4', '74'
'446', '384', '6', '12'
'195', '373', '39', '4'
'449', '364', '30', '21'
'47', '364', '25', '53'
'0', '351', '10', '11'
'77', '350', '8', '74'
'0', '342', '19', '7'
'0', '340', '31', '44'
'457', '337', '94', '311'
'0', '329', '18', '12'
'189', '327', '46', '24'
'0', '325', '27', '2'
'232', '323', '20', '79'
'445', '321', '23', '35'
'40', '306', '20', '30'
'537', '303', '2', '1'
'539', '300', '12', '37'
'531', '299', '7', '3'
'70', '297', '10', '58'
'466', '293', '11', '27'
'58', '292', '5', '14'
'437', '291', '7', '93'
'0', '291', '15', '23'
'480', '290', '17', '14'
'530', '286', '9', '13'
'60', '283', '1', '2'
'478', '279', '24', '15'
'60', '278', '1', '3'
'421', '275', '1', '1'
'233', '273', '25', '54'
'424', '260', '23', '16'
'503', '257', '31', '34'
'258', '248', '40', '24'
'40', '248', '30', '46'
'669', '243', '8', '16'
'475', '243', '8', '17'
'352', '230', '18', '6'
'515', '224', '14', '30'
'331', '219', '45', '29'
'678', '218', '19', '49'
'165', '218', '139', '40'
'340', '215', '42', '14'
'392', '207', '1', '3'
'475', '201', '21', '20'
'333', '200', '58', '26'
'342', '197', '59', '56'
'456', '188', '49', '74'
'327', '186', '54', '26'
'19', '185', '17', '21'
'449', '176', '59', '79'
'322', '155', '6', '8'
'522', '147', '25', '11'
'339', '139', '15', '11'
'240', '136', '196', '575'
'291', '135', '33', '12'
'453', '132', '38', '37'
'480', '121', '8', '14'
'461', '111', '22', '24'
'622', '99', '32', '20'
'165', '76', '53', '49'
'149', '68', '35', '41'
'696', '46', '4', '19'
'121', '2', '35', '148'
'123', '0', '2', '2'
