'195', '560', '31', '24'
'190', '559', '7', '4'
'213', '535', '10', '14'
'12', '532', '14', '26'
'222', '521', '23', '24'
'230', '512', '20', '27'
'252', '510', '6', '8'
'0', '497', '50', '34'
'217', '488', '5', '4'
'214', '483', '48', '31'
'250', '477', '10', '5'
'261', '475', '18', '15'
'259', '470', '6', '6'
'251', '470', '8', '6'
'200', '467', '26', '35'
'0', '467', '37', '21'
'234', '466', '18', '23'
'9', '463', '23', '10'
'186', '462', '15', '12'
'201', '460', '17', '11'
'214', '459', '25', '18'
'231', '458', '15', '14'
'261', '451', '10', '6'
'237', '451', '22', '17'
'224', '448', '5', '7'
'246', '445', '6', '7'
'230', '442', '7', '11'
'278', '434', '50', '76'
'252', '434', '11', '9'
'0', '431', '44', '17'
'277', '425', '56', '77'
'390', '423', '10', '15'
'205', '415', '5', '6'
'102', '414', '74', '92'
'18', '414', '9', '5'
'0', '410', '38', '26'
'278', '406', '13', '57'
'383', '405', '4', '5'
'226', '405', '50', '48'
'392', '401', '8', '7'
'8', '400', '42', '28'
'382', '396', '15', '15'
'361', '395', '15', '8'
'351', '394', '49', '107'
'22', '394', '8', '7'
'375', '393', '12', '11'
'180', '388', '47', '71'
'0', '388', '12', '21'
'28', '386', '38', '20'
'214', '385', '20', '15'
'68', '385', '43', '31'
'171', '384', '22', '35'
'88', '382', '14', '6'
'7', '382', '9', '8'
'253', '381', '37', '45'
'0', '381', '10', '5'
'33', '379', '8', '10'
'29', '379', '3', '4'
'198', '377', '27', '16'
'218', '373', '38', '62'
'71', '372', '43', '15'
'61', '366', '7', '5'
'21', '365', '52', '22'
'318', '363', '82', '39'
'0', '363', '25', '14'
'121', '359', '23', '39'
'295', '357', '24', '7'
'120', '352', '31', '76'
'83', '352', '37', '21'
'45', '351', '73', '192'
'57', '349', '30', '28'
'0', '347', '27', '14'
'294', '345', '106', '46'
'234', '344', '37', '29'
'247', '342', '34', '27'
'0', '336', '67', '33'
'0', '333', '17', '2'
'243', '332', '68', '36'
'18', '327', '28', '15'
'0', '327', '17', '4'
'22', '326', '8', '5'
'213', '325', '26', '16'
'189', '324', '18', '23'
'239', '323', '27', '26'
'134', '316', '16', '19'
'41', '316', '152', '148'
'213', '315', '4', '4'
'276', '312', '60', '12'
'130', '312', '6', '5'
'18', '312', '22', '19'
'186', '311', '9', '4'
'0', '309', '18', '11'
'189', '307', '26', '19'
'243', '304', '21', '24'
'0', '303', '49', '22'
'310', '298', '57', '20'
'241', '297', '16', '30'
'214', '294', '31', '19'
'357', '293', '18', '5'
'191', '292', '10', '2'
'175', '290', '17', '10'
'81', '287', '60', '51'
'184', '283', '44', '37'
'126', '283', '77', '51'
'284', '281', '26', '27'
'226', '280', '91', '42'
'338', '278', '62', '43'
'151', '271', '14', '20'
'275', '266', '37', '19'
'156', '260', '18', '13'
'299', '256', '32', '7'
'89', '235', '24', '13'
'337', '225', '58', '68'
'115', '208', '9', '6'
'340', '201', '46', '33'
'170', '199', '40', '37'
'37', '199', '17', '8'
'57', '198', '142', '89'
'33', '197', '37', '63'
'50', '196', '34', '13'
'4', '191', '24', '16'
'370', '184', '23', '49'
'201', '180', '17', '48'
'203', '162', '38', '34'
'160', '161', '45', '49'
'194', '158', '12', '30'
'341', '157', '35', '36'
'211', '156', '29', '21'
'189', '153', '24', '78'
'144', '149', '13', '9'
'328', '136', '17', '27'
'215', '135', '10', '10'
'310', '132', '18', '16'
'203', '132', '82', '91'
'172', '122', '16', '19'
'267', '120', '4', '8'
'314', '113', '11', '8'
'226', '113', '76', '33'
'272', '109', '28', '20'
'209', '100', '18', '23'
'352', '94', '23', '22'
'292', '94', '40', '37'
'190', '72', '18', '66'
'360', '41', '40', '54'
'369', '26', '31', '15'
'274', '24', '44', '71'
'0', '21', '113', '56'
'110', '18', '6', '18'
'318', '15', '11', '24'
'90', '12', '57', '61'
'106', '10', '4', '6'
'226', '8', '25', '15'
'318', '7', '49', '53'
'386', '0', '14', '17'
'363', '0', '7', '6'
'345', '0', '14', '8'
'336', '0', '10', '16'
'329', '0', '11', '16'
'148', '0', '22', '17'
'154', '0', '3', '6'
'148', '0', '6', '10'
'128', '0', '16', '39'
'124', '0', '17', '39'
'116', '0', '15', '25'
'112', '0', '8', '18'
'195', '560', '31', '24'
'190', '559', '7', '4'
'213', '535', '10', '14'
'12', '532', '14', '26'
'222', '521', '23', '24'
'230', '512', '20', '27'
'252', '510', '6', '8'
'0', '497', '50', '34'
'217', '488', '5', '4'
'214', '483', '48', '31'
'250', '477', '10', '5'
'261', '475', '18', '15'
'259', '470', '6', '6'
'251', '470', '8', '6'
'200', '467', '26', '35'
'0', '467', '37', '21'
'234', '466', '18', '23'
'9', '463', '23', '10'
'186', '462', '15', '12'
'201', '460', '17', '11'
'214', '459', '25', '18'
'231', '458', '15', '14'
'261', '451', '10', '6'
'237', '451', '22', '17'
'224', '448', '5', '7'
'246', '445', '6', '7'
'230', '442', '7', '11'
'278', '434', '50', '76'
'252', '434', '11', '9'
'0', '431', '44', '17'
'277', '425', '56', '77'
'390', '423', '10', '15'
'205', '415', '5', '6'
'102', '414', '74', '92'
'18', '414', '9', '5'
'0', '410', '38', '26'
'278', '406', '13', '57'
'383', '405', '4', '5'
