'1126', '1491', '75', '16'
'1077', '1491', '5', '22'
'1209', '1490', '21', '15'
'1246', '1483', '9', '28'
'950', '1482', '22', '18'
'927', '1475', '49', '28'
'864', '1463', '11', '24'
'1413', '1456', '14', '25'
'1137', '1448', '5', '5'
'1088', '1447', '13', '4'
'1046', '1446', '9', '3'
'988', '1446', '1', '1'
'954', '1436', '50', '8'
'1004', '1435', '308', '16'
'724', '1432', '474', '52'
'901', '1430', '204', '26'
'1275', '1418', '98', '22'
'841', '1415', '44', '11'
'469', '1408', '6', '40'
'770', '1394', '60', '20'
'511', '1394', '122', '27'
'1209', '1387', '7', '17'
'1203', '1383', '8', '17'
'539', '1382', '32', '6'
'708', '1379', '3', '1'
'1101', '1378', '365', '78'
'1460', '1377', '58', '20'
'586', '1377', '864', '83'
'212', '1376', '10', '22'
'1021', '1375', '8', '4'
'1185', '1373', '19', '29'
'193', '1373', '19', '39'
'1161', '1371', '27', '21'
'1138', '1369', '26', '36'
'1525', '1368', '20', '8'
'995', '1368', '4', '4'
'562', '1366', '471', '79'
'1199', '1363', '4', '9'
'1100', '1363', '50', '44'
'1163', '1362', '5', '6'
'1479', '1359', '111', '41'
'1396', '1357', '5', '9'
'1128', '1357', '15', '10'
'1128', '1355', '10', '5'
'1048', '1355', '6', '6'
'1119', '1354', '7', '5'
'1334', '1352', '17', '21'
'174', '1352', '86', '27'
'1146', '1351', '30', '25'
'964', '1351', '19', '10'
'1077', '1350', '4', '4'
'994', '1350', '13', '9'
'1054', '1349', '21', '12'
'1205', '1348', '3', '2'
'1022', '1348', '25', '43'
'926', '1347', '8', '10'
'939', '1346', '4', '4'
'516', '1345', '14', '28'
'1162', '1344', '14', '12'
'1135', '1344', '26', '20'
'1681', '1343', '51', '28'
'1183', '1342', '1', '1'
'1039', '1341', '18', '12'
'378', '1341', '71', '16'
'1665', '1340', '65', '35'
'1290', '1340', '3', '3'
'1171', '1340', '2', '3'
'1115', '1340', '1', '2'
'1109', '1340', '4', '3'
'990', '1340', '5', '5'
'830', '1340', '4', '4'
'1235', '1339', '10', '9'
'1135', '1338', '3', '4'
'1217', '1337', '47', '62'
'1217', '1337', '6', '9'
'1462', '1336', '268', '101'
'1056', '1336', '4', '3'
'505', '1334', '12', '25'
'1129', '1332', '1', '1'
'1034', '1331', '25', '15'
'1027', '1331', '4', '4'
'1620', '1330', '49', '17'
'1000', '1330', '24', '29'
'1013', '1329', '20', '12'
'1305', '1328', '32', '54'
'1016', '1328', '4', '4'
'1249', '1325', '3', '5'
'1215', '1325', '2', '1'
'1422', '1324', '8', '13'
'1376', '1321', '18', '29'
'1097', '1321', '12', '7'
'1340', '1319', '12', '19'
'1017', '1319', '4', '4'
'1280', '1318', '3', '4'
'1225', '1317', '2', '3'
'955', '1317', '48', '50'
'1277', '1316', '13', '18'
'1333', '1315', '16', '29'
'1074', '1315', '8', '6'
'1435', '1314', '4', '4'
'1054', '1314', '2', '2'
'1134', '1313', '3', '3'
'1145', '1312', '1', '1'
'1026', '1312', '5', '3'
'1540', '1310', '172', '57'
'1243', '1310', '17', '22'
'1018', '1310', '8', '2'
'1272', '1309', '9', '17'
'1027', '1308', '6', '2'
'918', '1307', '38', '26'
'1215', '1306', '13', '17'
'1047', '1306', '8', '5'
'948', '1305', '70', '16'
'1103', '1304', '8', '11'
'1348', '1303', '21', '14'
'1243', '1303', '8', '11'
'1091', '1303', '5', '3'
'495', '1303', '13', '30'
'1385', '1302', '18', '21'
'1235', '1302', '117', '92'
'1199', '1302', '1', '1'
'1012', '1302', '3', '2'
'988', '1301', '5', '6'
'1400', '1300', '4', '4'
'1076', '1300', '2', '1'
'1006', '1300', '7', '5'
'924', '1300', '12', '14'
'1349', '1299', '39', '78'
'1287', '1298', '9', '13'
'1224', '1298', '1', '4'
'1026', '1298', '5', '5'
'194', '1298', '293', '80'
'1245', '1297', '10', '15'
'1192', '1297', '3', '3'
'908', '1297', '18', '8'
'992', '1296', '2', '6'
'1298', '1295', '5', '5'
'905', '1295', '5', '4'
'1315', '1294', '12', '20'
'968', '1294', '24', '13'
'871', '1294', '14', '6'
'1683', '1293', '57', '32'
'1079', '1293', '1', '2'
'1294', '1292', '4', '4'
'1605', '1291', '133', '50'
'955', '1291', '25', '13'
'955', '1291', '4', '4'
'1213', '1290', '5', '9'
'1152', '1290', '6', '6'
'1143', '1290', '3', '2'
'1149', '1289', '1', '1'
'976', '1289', '8', '3'
'961', '1289', '7', '7'
'916', '1288', '40', '21'
'966', '1287', '9', '4'
'927', '1287', '11', '5'
'1398', '1286', '30', '48'
'1281', '1286', '15', '29'
'1151', '1286', '5', '6'
'502', '1286', '12', '44'
'1174', '1284', '4', '6'
'1221', '1282', '2', '2'
'1198', '1281', '10', '16'
'1028', '1281', '4', '7'
'935', '1281', '9', '6'
'1193', '1279', '8', '17'
'1179', '1279', '7', '8'
'1135', '1279', '1', '1'
'944', '1279', '6', '4'
'155', '1279', '29', '27'
'1179', '1278', '1', '1'
'1151', '1278', '2', '2'
'922', '1278', '15', '9'
'872', '1278', '49', '22'
'1142', '1276', '1', '1'
'1131', '1276', '1', '1'
'1033', '1276', '10', '10'
'893', '1276', '9', '5'
'1162', '1275', '4', '5'
'722', '1275', '4', '4'
'974', '1274', '9', '5'
'1034', '1273', '3', '2'
'1207', '1272', '9', '19'
'985', '1272', '9', '9'
'955', '1271', '38', '18'
'1377', '1270', '11', '4'
'1131', '1270', '5', '6'
'1306', '1269', '38', '31'
'1019', '1269', '8', '8'
'969', '1269', '5', '6'
'939', '1269', '22', '22'
'1020', '1268', '12', '11'
'1180', '1267', '1', '1'
'1180', '1266', '14', '11'
'1040', '1266', '248', '139'
'1140', '1266', '6', '9'
'979', '1266', '42', '38'
'1232', '1265', '10', '10'
'1110', '1265', '16', '11'
'737', '1265', '4', '8'
'1057', '1264', '1', '1'
'1215', '1263', '17', '21'
'1074', '1263', '1', '1'
'923', '1263', '10', '8'
'268', '1263', '4', '4'
'157', '1263', '65', '41'
'1045', '1262', '4', '4'
'989', '1262', '7', '9'
'955', '1262', '4', '7'
'500', '1262', '4', '22'
'960', '1261', '4', '3'
'1430', '1260', '41', '28'
'1205', '1260', '18', '16'
'1145', '1260', '28', '15'
'1078', '1260', '9', '6'
'1042', '1260', '2', '4'
'916', '1259', '5', '3'
'1046', '1258', '21', '12'
'786', '1258', '48', '11'
'1391', '1257', '35', '16'
'1052', '1257', '5', '4'
'905', '1257', '9', '9'
'1062', '1256', '2', '2'
'935', '1256', '12', '16'
'503', '1256', '5', '7'
'1150', '1255', '13', '14'
'1150', '1253', '6', '4'
'1050', '1253', '3', '1'
'1004', '1253', '5', '3'
'941', '1253', '22', '23'
'872', '1253', '11', '8'
'1276', '1252', '57', '40'
'1081', '1252', '2', '2'
'848', '1252', '5', '3'
'1109', '1251', '3', '3'
'878', '1251', '30', '20'
'1215', '1250', '8', '11'
'1055', '1250', '1', '1'
'1040', '1250', '7', '8'
'991', '1250', '3', '2'
'885', '1250', '10', '6'
'1254', '1249', '24', '14'
'1066', '1249', '9', '4'
'1012', '1249', '5', '3'
'812', '1249', '8', '4'
'737', '1249', '5', '4'
'1410', '1248', '29', '14'
'1189', '1248', '4', '8'
'1179', '1248', '4', '2'
'1168', '1246', '3', '4'
'1064', '1246', '1', '1'
'716', '1246', '4', '2'
'698', '1246', '5', '4'
'1487', '1245', '47', '21'
'1244', '1245', '74', '53'
'1086', '1245', '1', '1'
'927', '1245', '1', '1'
'883', '1245', '9', '9'
'1238', '1244', '44', '20'
'1121', '1244', '7', '10'
'716', '1244', '12', '8'
'1444', '1243', '44', '24'
'908', '1243', '12', '14'
'814', '1243', '6', '5'
'760', '1243', '6', '8'
'1127', '1241', '8', '12'
'820', '1241', '22', '8'
'1071', '1240', '13', '7'
'1482', '1239', '18', '6'
'1104', '1239', '19', '17'
'857', '1239', '8', '4'
'840', '1239', '10', '11'
'489', '1239', '12', '58'
'984', '1238', '4', '4'
'979', '1238', '5', '3'
'921', '1238', '7', '7'
'887', '1238', '28', '17'
'1261', '1237', '8', '11'
'1098', '1237', '2', '2'
'1028', '1236', '8', '6'
'846', '1236', '10', '7'
'1278', '1235', '3', '3'
'1100', '1235', '1', '1'
