'144', '562', '188', '33'
'242', '551', '100', '59'
'309', '542', '11', '5'
'446', '529', '25', '14'
'369', '513', '27', '23'
'473', '511', '7', '4'
'461', '510', '11', '20'
'317', '507', '125', '50'
'269', '505', '48', '54'
'348', '504', '18', '13'
'359', '498', '36', '27'
'301', '498', '164', '82'
'238', '493', '6', '6'
'341', '475', '31', '29'
'327', '464', '26', '35'
'131', '463', '60', '27'
'327', '459', '27', '15'
'58', '456', '107', '127'
'350', '454', '17', '23'
'216', '444', '81', '60'
'184', '444', '17', '10'
'147', '443', '30', '25'
'183', '441', '20', '10'
'321', '440', '17', '33'
'157', '437', '31', '31'
'313', '434', '16', '13'
'187', '432', '7', '11'
'74', '432', '37', '19'
'327', '429', '29', '9'
'335', '423', '21', '9'
'178', '423', '14', '8'
'297', '421', '27', '9'
'328', '416', '17', '13'
'327', '407', '20', '7'
'352', '405', '146', '165'
'169', '399', '14', '11'
'167', '397', '9', '11'
'318', '391', '14', '15'
'345', '390', '10', '10'
'58', '389', '16', '32'
'162', '384', '19', '20'
'81', '377', '47', '47'
'310', '365', '17', '26'
'235', '365', '63', '58'
'74', '362', '31', '47'
'292', '359', '24', '17'
'252', '358', '28', '40'
'311', '355', '14', '8'
'314', '355', '7', '3'
'258', '354', '26', '49'
'85', '339', '107', '114'
'297', '315', '20', '13'
'208', '313', '16', '44'
'282', '303', '41', '11'
'278', '284', '45', '24'
'50', '284', '20', '110'
'281', '280', '37', '23'
'122', '278', '46', '44'
'231', '276', '35', '106'
'324', '270', '26', '7'
'195', '267', '18', '150'
'286', '247', '24', '15'
'116', '243', '34', '74'
'346', '236', '4', '28'
'277', '230', '28', '38'
'107', '230', '27', '57'
'202', '225', '14', '190'
'221', '223', '25', '64'
'283', '222', '24', '40'
'54', '216', '30', '96'
'54', '208', '5', '9'
'349', '207', '4', '25'
'281', '202', '9', '33'
'167', '195', '33', '105'
'153', '192', '18', '29'
'175', '191', '1', '1'
'62', '191', '42', '170'
'331', '187', '12', '34'
'222', '186', '23', '63'
'70', '184', '47', '50'
'62', '175', '113', '164'
'63', '171', '15', '25'
'150', '162', '50', '123'
'238', '160', '46', '154'
'201', '152', '2', '15'
'80', '152', '8', '6'
'32', '152', '1', '3'
'253', '151', '40', '83'
'238', '151', '29', '28'
'199', '146', '3', '6'
'274', '143', '45', '92'
'348', '142', '4', '11'
'291', '142', '10', '11'
'288', '137', '65', '92'
'65', '136', '9', '5'
'61', '130', '41', '24'
'57', '123', '134', '136'
'259', '119', '64', '84'
'56', '115', '35', '22'
'229', '111', '23', '189'
'237', '110', '110', '153'
'53', '109', '7', '66'
'237', '107', '8', '11'
'254', '103', '3', '2'
'251', '101', '1', '1'
'57', '101', '16', '20'
'261', '99', '73', '83'
'236', '99', '96', '122'
'48', '97', '7', '19'
'237', '93', '93', '97'
'36', '93', '22', '101'
'34', '93', '22', '205'
'198', '89', '4', '42'
'25', '87', '264', '534'
'357', '80', '12', '45'
'234', '80', '99', '106'
'189', '79', '5', '63'
'223', '77', '5', '7'
'219', '76', '7', '89'
'209', '75', '7', '59'
'109', '75', '55', '111'
'360', '74', '4', '3'
'204', '74', '2', '16'
'334', '71', '36', '120'
'186', '69', '5', '76'
'180', '67', '5', '90'
'177', '67', '5', '98'
'246', '65', '68', '69'
'169', '65', '7', '117'
'166', '64', '7', '122'
'161', '63', '9', '118'
'335', '54', '13', '110'
'328', '53', '8', '104'
'325', '52', '7', '100'
'317', '50', '6', '90'
'56', '46', '318', '361'
