'374', '1168', '8', '3'
'320', '1150', '73', '29'
'547', '1113', '1', '1'
'582', '1111', '17', '7'
'531', '1110', '17', '10'
'482', '1109', '16', '9'
'590', '1108', '3', '2'
'515', '1108', '8', '5'
'650', '1105', '53', '9'
'636', '1105', '16', '9'
'607', '1105', '29', '8'
'498', '1104', '11', '8'
'518', '1103', '14', '10'
'439', '1098', '19', '11'
'650', '1097', '60', '11'
'461', '1095', '28', '13'
'710', '1094', '50', '11'
'419', '1093', '1', '1'
'427', '1091', '18', '7'
'712', '1088', '41', '10'
'754', '1087', '16', '7'
'403', '1087', '15', '9'
'814', '1074', '15', '8'
'821', '1074', '1', '1'
'380', '1074', '5', '7'
'822', '1072', '49', '13'
'370', '1071', '12', '10'
'383', '1069', '6', '6'
'870', '1061', '14', '9'
'874', '1057', '5', '4'
'361', '1056', '17', '12'
'927', '1055', '12', '4'
'355', '1055', '3', '4'
'928', '1050', '7', '6'
'928', '1050', '2', '2'
'911', '1050', '16', '11'
'341', '1049', '13', '11'
'361', '1046', '6', '6'
'332', '1031', '22', '19'
'313', '1029', '12', '7'
'316', '1029', '5', '4'
'313', '1026', '8', '5'
'641', '1020', '41', '37'
'514', '1012', '20', '72'
'299', '1007', '8', '4'
'284', '1002', '13', '10'
'269', '985', '27', '16'
'255', '981', '12', '9'
'243', '966', '5', '4'
'228', '964', '8', '5'
'224', '956', '24', '15'
'191', '936', '4', '4'
'512', '933', '91', '149'
'488', '905', '12', '12'
'506', '898', '4', '3'
'671', '891', '89', '19'
'728', '890', '5', '3'
'724', '889', '1', '1'
'63', '889', '11', '11'
'713', '887', '10', '4'
'477', '887', '50', '45'
'685', '886', '30', '4'
'575', '883', '390', '319'
'67', '876', '31', '27'
'695', '871', '6', '4'
'71', '868', '43', '26'
'669', '851', '32', '21'
'422', '850', '12', '18'
'137', '827', '29', '51'
'128', '826', '60', '111'
'164', '826', '3', '27'
'400', '825', '22', '30'
'488', '817', '20', '13'
'487', '812', '7', '9'
'473', '812', '1', '1'
'444', '810', '104', '148'
'234', '810', '2', '1'
'460', '808', '40', '40'
'232', '808', '8', '6'
'222', '805', '4', '2'
'229', '803', '2', '2'
'638', '799', '3', '3'
'636', '793', '78', '89'
'215', '788', '17', '14'
'625', '787', '37', '38'
'232', '786', '4', '5'
'187', '785', '1', '2'
'501', '782', '195', '82'
'266', '781', '17', '8'
'99', '781', '34', '57'
'186', '779', '1', '2'
'643', '777', '2', '4'
'369', '776', '8', '13'
'287', '773', '1', '1'
'182', '765', '1', '5'
'254', '763', '14', '7'
'605', '752', '7', '8'
'612', '750', '5', '6'
'180', '750', '1', '1'
'178', '745', '2', '9'
'600', '744', '1', '1'
'460', '744', '58', '40'
'599', '742', '1', '1'
'463', '738', '114', '27'
'459', '738', '4', '7'
'355', '738', '53', '89'
'251', '738', '13', '10'
'99', '737', '66', '43'
'460', '736', '3', '1'
'177', '735', '3', '4'
'456', '734', '10', '6'
'593', '733', '2', '2'
'227', '732', '64', '70'
'266', '732', '1', '1'
'592', '731', '1', '1'
'268', '730', '1', '1'
'178', '729', '1', '1'
'590', '728', '1', '1'
'360', '728', '21', '17'
'252', '728', '7', '9'
'455', '727', '6', '6'
'186', '727', '20', '71'
'179', '723', '1', '1'
'482', '719', '6', '4'
'470', '719', '19', '18'
'175', '718', '21', '90'
'535', '716', '78', '65'
'184', '715', '15', '8'
'484', '713', '5', '5'
'499', '712', '6', '4'
'490', '711', '19', '12'
'317', '710', '20', '21'
'193', '707', '24', '15'
'426', '703', '35', '50'
'582', '696', '3', '4'
'381', '696', '86', '35'
'204', '695', '40', '18'
'312', '692', '23', '41'
'521', '690', '20', '19'
'244', '690', '22', '50'
'488', '688', '6', '12'
'476', '686', '15', '23'
'377', '684', '21', '21'
'634', '680', '4', '6'
'375', '680', '27', '29'
'564', '679', '1', '1'
'626', '678', '8', '12'
'302', '677', '24', '25'
'447', '673', '59', '20'
'554', '672', '17', '26'
'203', '672', '55', '22'
'504', '671', '57', '54'
'298', '668', '274', '92'
'377', '668', '5', '1'
'166', '668', '129', '148'
'624', '667', '5', '9'
'374', '666', '1', '1'
'370', '664', '2', '2'
'439', '663', '7', '15'
'623', '662', '4', '4'
'444', '662', '21', '20'
'325', '661', '119', '79'
'629', '660', '9', '12'
'610', '656', '11', '10'
'373', '655', '12', '12'
'555', '654', '13', '7'
'624', '652', '6', '5'
'368', '652', '20', '21'
'608', '650', '4', '5'
'611', '648', '4', '4'
'511', '646', '9', '12'
'125', '646', '1', '2'
'359', '645', '62', '36'
'457', '644', '31', '23'
'508', '643', '19', '19'
'439', '641', '1', '1'
'555', '640', '1', '1'
'558', '638', '3', '2'
'125', '638', '27', '51'
'625', '635', '11', '24'
'124', '635', '3', '4'
'429', '634', '13', '20'
'334', '634', '5', '10'
'436', '633', '14', '9'
'631', '632', '1', '1'
'447', '632', '2', '1'
'124', '632', '2', '2'
'629', '631', '1', '1'
'440', '631', '1', '1'
'434', '628', '20', '21'
'305', '628', '111', '46'
'626', '625', '5', '10'
'598', '623', '8', '11'
'544', '622', '13', '12'
'433', '621', '45', '26'
'602', '619', '26', '39'
'561', '619', '2', '7'
'552', '619', '11', '23'
'540', '615', '3', '4'
'608', '614', '4', '4'
'622', '612', '4', '4'
'498', '611', '18', '19'
'395', '610', '36', '21'
'558', '609', '4', '2'
'545', '609', '2', '1'
'608', '608', '13', '11'
