'216', '445', '160', '25'
'296', '429', '63', '9'
'337', '429', '14', '6'
'191', '351', '11', '10'
'194', '349', '33', '45'
'195', '349', '6', '2'
'187', '346', '17', '19'
'160', '320', '20', '16'
'145', '285', '12', '19'
'134', '253', '18', '17'
'122', '228', '23', '5'
'170', '223', '38', '33'
'87', '196', '16', '35'
'100', '190', '2', '3'
'68', '188', '26', '41'
'81', '184', '26', '50'
'30', '175', '42', '60'
'197', '156', '44', '147'
'147', '146', '46', '13'
'205', '128', '59', '31'
'142', '126', '61', '61'
'22', '100', '19', '54'
'157', '96', '26', '39'
'40', '92', '118', '24'
'52', '87', '58', '21'
'118', '84', '5', '11'
'8', '78', '372', '412'
