'657', '724', '8', '2'
'670', '723', '8', '2'
'594', '722', '29', '7'
'639', '720', '9', '7'
'584', '719', '11', '6'
'570', '716', '13', '5'
'561', '713', '9', '5'
'526', '712', '185', '35'
'625', '709', '100', '21'
'712', '709', '8', '4'
'549', '709', '11', '6'
'160', '709', '137', '23'
'537', '704', '11', '7'
'528', '699', '10', '6'
'724', '696', '21', '12'
'745', '689', '11', '8'
'146', '688', '152', '17'
'202', '684', '50', '6'
'218', '682', '6', '4'
'188', '679', '12', '10'
'155', '679', '6', '2'
'481', '678', '46', '23'
'454', '677', '303', '65'
'432', '677', '284', '77'
'268', '676', '38', '15'
'287', '676', '13', '7'
'471', '674', '10', '6'
'216', '674', '12', '9'
'754', '670', '17', '19'
'461', '670', '9', '5'
'400', '657', '91', '39'
'90', '651', '1', '1'
'93', '646', '11', '6'
'559', '641', '1', '3'
'549', '640', '3', '2'
'0', '637', '280', '84'
'551', '636', '4', '9'
'425', '633', '28', '7'
'565', '632', '5', '14'
'552', '630', '5', '6'
'44', '616', '143', '72'
'390', '614', '19', '36'
'531', '612', '4', '6'
'547', '610', '5', '25'
'409', '610', '117', '62'
'395', '606', '31', '33'
'528', '605', '24', '40'
'535', '604', '4', '15'
'508', '603', '29', '44'
'497', '602', '18', '9'
'516', '601', '1', '1'
'560', '599', '3', '11'
'549', '596', '3', '14'
'514', '593', '17', '12'
'460', '578', '108', '90'
'136', '577', '8', '25'
'504', '575', '11', '26'
'78', '574', '54', '62'
'94', '568', '30', '33'
'518', '567', '6', '26'
'125', '566', '13', '7'
'510', '564', '5', '9'
'509', '564', '2', '3'
'553', '561', '33', '36'
'534', '561', '5', '22'
'499', '561', '1', '4'
'512', '560', '11', '13'
'585', '558', '9', '4'
'520', '557', '9', '44'
'588', '554', '5', '5'
'528', '553', '32', '91'
'189', '552', '38', '47'
'199', '551', '15', '28'
'544', '550', '27', '25'
'127', '548', '18', '10'
'517', '546', '4', '16'
'537', '545', '51', '52'
'152', '544', '46', '8'
'544', '537', '37', '28'
'500', '537', '21', '66'
'500', '535', '15', '21'
'551', '533', '21', '16'
'519', '533', '5', '27'
'133', '532', '14', '18'
'140', '530', '4', '5'
'179', '523', '16', '17'
'533', '518', '1', '2'
'156', '518', '39', '26'
'144', '517', '1', '1'
'533', '515', '47', '71'
'540', '515', '12', '8'
'108', '515', '44', '56'
'167', '514', '23', '12'
'145', '513', '9', '26'
'90', '513', '54', '72'
'465', '512', '37', '49'
'497', '511', '37', '89'
'167', '511', '22', '8'
'527', '509', '3', '2'
'382', '508', '76', '44'
'187', '501', '13', '49'
'158', '496', '2', '2'
'80', '495', '111', '143'
'532', '494', '83', '88'
'171', '493', '114', '41'
'164', '485', '11', '22'
'115', '484', '11', '25'
'373', '483', '45', '197'
'479', '478', '20', '14'
'555', '470', '32', '15'
'559', '468', '29', '13'
'591', '467', '1', '1'
'513', '466', '16', '32'
'369', '464', '97', '58'
'130', '464', '6', '11'
'489', '462', '110', '81'
'513', '462', '21', '31'
'81', '461', '77', '54'
'455', '451', '48', '32'
'501', '448', '43', '56'
'164', '445', '63', '49'
'96', '442', '55', '61'
'50', '442', '54', '131'
'135', '436', '43', '69'
'485', '435', '7', '6'
'348', '435', '139', '40'
'357', '429', '34', '14'
'96', '426', '66', '17'
'368', '422', '1', '1'
'0', '420', '96', '224'
'361', '414', '1', '1'
'373', '413', '2', '2'
'366', '402', '1', '1'
'390', '401', '56', '27'
'365', '400', '1', '1'
'351', '394', '33', '31'
'169', '394', '1', '1'
'170', '392', '22', '6'
'358', '390', '1', '2'
'70', '389', '100', '18'
'430', '382', '22', '16'
'54', '375', '5', '10'
'756', '371', '43', '15'
'65', '371', '4', '14'
'179', '367', '8', '25'
'431', '363', '26', '20'
'384', '362', '11', '7'
'197', '359', '2', '3'
'185', '357', '13', '40'
'363', '356', '60', '26'
'57', '356', '7', '30'
'306', '351', '39', '34'
'55', '351', '1', '2'
'465', '350', '15', '8'
'362', '350', '15', '15'
'115', '348', '81', '11'
'324', '347', '16', '24'
'458', '337', '4', '7'
'14', '333', '37', '14'
'396', '328', '51', '35'
'317', '321', '182', '130'
'331', '317', '27', '36'
'150', '317', '13', '26'
'356', '316', '36', '42'
'96', '316', '25', '26'
'321', '309', '15', '27'
'436', '302', '22', '26'
'69', '300', '28', '29'
'328', '299', '9', '8'
'68', '291', '11', '17'
'425', '287', '11', '23'
'311', '286', '10', '30'
'300', '286', '11', '19'
'364', '283', '74', '64'
'72', '283', '16', '17'
'69', '280', '8', '10'
'302', '275', '10', '21'
'295', '272', '5', '14'
'153', '271', '41', '52'
'411', '263', '13', '24'
'320', '263', '10', '8'
'68', '259', '12', '17'
'245', '258', '58', '65'
'333', '253', '29', '33'
'284', '242', '8', '16'
'304', '241', '12', '8'
'342', '240', '16', '13'
'277', '235', '19', '55'
'225', '234', '136', '199'
'69', '232', '15', '27'
'73', '226', '11', '6'
'279', '221', '10', '9'
'313', '213', '38', '34'
'72', '209', '30', '15'
'305', '207', '112', '118'
'252', '207', '14', '16'
'262', '205', '23', '46'
'74', '201', '6', '8'
'266', '199', '4', '3'
'307', '197', '3', '6'
'146', '197', '13', '12'
'76', '190', '13', '13'
'222', '168', '29', '35'
'77', '164', '31', '20'
'242', '162', '30', '44'
'307', '161', '32', '42'
'258', '156', '6', '5'
'281', '153', '7', '8'
'241', '152', '8', '10'
'373', '144', '35', '67'
'235', '140', '8', '11'
'285', '134', '29', '37'
'79', '129', '18', '34'
'161', '114', '63', '216'
'360', '110', '30', '33'
'83', '110', '13', '17'
'226', '106', '26', '29'
'283', '101', '27', '16'
'83', '97', '12', '12'
'287', '96', '32', '42'
'280', '91', '8', '7'
'305', '90', '29', '79'
'86', '86', '15', '11'
'127', '83', '42', '64'
'213', '65', '36', '48'
'88', '65', '10', '19'
'241', '64', '7', '4'
'88', '62', '4', '3'
'211', '61', '9', '8'
'207', '59', '6', '22'
'275', '58', '19', '14'
'214', '48', '11', '12'
'237', '41', '93', '234'
'141', '41', '32', '72'
'89', '23', '52', '53'
'92', '16', '19', '14'
'96', '2', '1', '1'
'324', '0', '47', '103'
'198', '0', '81', '69'
'193', '0', '7', '10'
'178', '0', '67', '167'
'96', '0', '24', '20'
'93', '0', '16', '17'
'51', '0', '159', '427'
