'380', '248', '20', '5'
'279', '242', '4', '4'
'297', '241', '27', '10'
'210', '240', '15', '3'
'198', '240', '85', '12'
'319', '234', '81', '16'
'157', '225', '15', '3'
'142', '224', '30', '7'
'177', '223', '70', '23'
'269', '220', '94', '21'
'235', '207', '16', '15'
'195', '197', '4', '5'
'137', '175', '20', '49'
'132', '168', '24', '60'
'102', '103', '98', '3'
'51', '69', '149', '15'
'143', '67', '56', '5'
'69', '57', '130', '17'
'77', '54', '121', '15'
'232', '51', '19', '21'
'257', '50', '19', '2'
'255', '40', '145', '26'
'275', '35', '11', '25'
'155', '29', '58', '155'
'114', '24', '69', '13'
'213', '23', '3', '10'
'0', '18', '82', '24'
'194', '13', '15', '15'
'219', '12', '31', '52'
'154', '10', '126', '211'
'223', '10', '17', '5'
'208', '10', '7', '12'
'188', '7', '8', '7'
'205', '4', '36', '6'
'221', '1', '9', '2'
'216', '1', '10', '6'
'280', '0', '10', '37'
'268', '0', '14', '31'
'243', '0', '22', '33'
'208', '0', '6', '5'
'196', '0', '9', '24'
'78', '0', '112', '41'
'161', '0', '18', '5'
'87', '0', '42', '12'
'84', '0', '68', '15'
'30', '0', '34', '11'
