'760', '991', '51', '10'
'483', '990', '9', '7'
'803', '988', '26', '8'
'830', '967', '18', '26'
'752', '952', '111', '39'
'333', '946', '65', '16'
'864', '945', '24', '20'
'372', '942', '61', '26'
'262', '942', '27', '9'
'958', '927', '25', '22'
'64', '892', '53', '11'
'663', '881', '130', '14'
'798', '874', '35', '61'
'834', '856', '50', '19'
'57', '786', '172', '29'
'8', '786', '11', '37'
'23', '782', '7', '72'
'509', '778', '17', '6'
'844', '774', '17', '50'
'429', '773', '161', '25'
'15', '772', '9', '5'
'532', '771', '41', '14'
'437', '757', '74', '23'
'663', '752', '8', '15'
'671', '744', '8', '7'
'421', '740', '149', '40'
'671', '739', '6', '7'
'665', '732', '8', '16'
'657', '728', '9', '6'
'653', '724', '3', '8'
'656', '722', '1', '2'
'648', '718', '5', '9'
'176', '718', '31', '15'
'137', '717', '89', '26'
'154', '716', '22', '9'
'191', '714', '16', '10'
'145', '705', '4', '2'
'105', '703', '47', '16'
'147', '702', '43', '21'
'79', '701', '141', '48'
'131', '699', '14', '7'
'78', '689', '26', '15'
'44', '689', '291', '91'
'539', '683', '37', '37'
'79', '683', '53', '20'
'591', '681', '49', '46'
'601', '678', '30', '25'
'584', '666', '17', '17'
'30', '665', '11', '19'
'395', '658', '11', '92'
'41', '650', '3', '13'
'475', '622', '35', '37'
'538', '621', '38', '32'
'544', '619', '16', '9'
'503', '614', '75', '94'
'521', '602', '12', '7'
'486', '579', '29', '37'
'510', '572', '10', '20'
'455', '568', '15', '9'
'473', '493', '3', '2'
'421', '472', '3', '6'
'425', '471', '2', '4'
'419', '465', '5', '17'
'420', '373', '6', '18'
'416', '372', '12', '24'
'466', '346', '4', '4'
'493', '340', '3', '8'
'464', '335', '53', '159'
'461', '323', '18', '10'
'469', '304', '26', '37'
'534', '285', '21', '14'
'509', '282', '59', '90'
'533', '272', '5', '8'
'39', '250', '31', '42'
'384', '235', '19', '61'
'417', '209', '38', '41'
'411', '209', '32', '25'
'403', '206', '1', '1'
'399', '195', '2', '5'
'398', '191', '1', '1'
'30', '185', '41', '81'
'8', '169', '984', '861'
