'332', '597', '1', '3'
'341', '596', '2', '4'
'31', '596', '12', '4'
'56', '595', '6', '5'
'86', '594', '14', '6'
'332', '593', '4', '3'
'337', '592', '5', '3'
'46', '586', '39', '14'
'4', '586', '11', '14'
'83', '585', '7', '7'
'0', '579', '30', '21'
'377', '576', '23', '24'
'280', '576', '10', '24'
'89', '566', '17', '21'
'128', '559', '16', '11'
'88', '557', '10', '12'
'159', '555', '6', '7'
'63', '555', '27', '34'
'219', '553', '29', '47'
'36', '547', '7', '8'
'0', '547', '3', '6'
'32', '542', '22', '16'
'55', '541', '9', '4'
'0', '540', '8', '5'
'368', '536', '11', '64'
'171', '535', '9', '7'
'36', '535', '8', '7'
'122', '534', '3', '3'
'25', '534', '14', '9'
'232', '533', '9', '23'
'201', '533', '30', '46'
'113', '533', '18', '9'
'54', '533', '16', '8'
'135', '532', '1', '1'
'5', '530', '15', '8'
'69', '529', '11', '9'
'163', '527', '1', '4'
'81', '527', '4', '11'
'359', '526', '41', '74'
'231', '526', '22', '11'
'104', '526', '32', '12'
'246', '524', '16', '27'
'197', '522', '16', '31'
'34', '521', '3', '8'
'0', '521', '30', '20'
'0', '521', '6', '5'
'305', '520', '21', '16'
'178', '519', '28', '46'
'56', '518', '13', '17'
'184', '514', '11', '9'
'68', '514', '11', '15'
'55', '514', '6', '4'
'280', '513', '21', '25'
'196', '512', '7', '13'
'0', '512', '183', '70'
'130', '512', '16', '11'
'104', '512', '9', '16'
'11', '512', '8', '3'
'225', '510', '6', '25'
'66', '510', '12', '10'
'253', '509', '6', '10'
'80', '509', '5', '17'
'7', '509', '26', '16'
'54', '508', '5', '5'
'0', '508', '9', '11'
'69', '507', '7', '6'
'204', '505', '15', '28'
'220', '504', '7', '21'
'226', '503', '4', '8'
'196', '501', '7', '8'
'29', '501', '4', '6'
'23', '501', '4', '5'
'12', '501', '11', '10'
'242', '499', '6', '5'
'163', '498', '27', '26'
'55', '498', '9', '14'
'20', '498', '35', '43'
'26', '498', '10', '9'
'229', '495', '43', '30'
'249', '495', '6', '8'
'150', '495', '19', '24'
'276', '494', '10', '8'
'383', '493', '17', '10'
'74', '492', '2', '2'
'293', '491', '15', '20'
'201', '489', '9', '21'
'209', '487', '12', '17'
'264', '486', '6', '5'
'181', '485', '7', '5'
'41', '485', '2', '2'
'359', '483', '23', '12'
'209', '483', '8', '7'
'0', '482', '3', '2'
'192', '481', '13', '12'
'15', '481', '9', '12'
'0', '480', '6', '2'
'384', '479', '12', '15'
'228', '479', '8', '11'
'62', '479', '81', '54'
'33', '478', '7', '9'
'183', '477', '8', '12'
'329', '476', '4', '6'
'391', '475', '9', '2'
'210', '475', '40', '38'
'159', '475', '40', '38'
'17', '475', '5', '7'
'322', '474', '78', '57'
'47', '474', '32', '35'
'28', '474', '13', '19'
'0', '474', '15', '36'
'391', '471', '9', '3'
'351', '471', '13', '11'
'248', '471', '24', '24'
'159', '471', '1', '2'
'146', '469', '12', '10'
'149', '468', '9', '7'
'142', '464', '5', '2'
'74', '464', '12', '6'
'162', '463', '22', '21'
'266', '462', '18', '11'
'211', '462', '2', '4'
'122', '462', '12', '8'
'13', '462', '73', '37'
'201', '460', '30', '15'
'368', '459', '24', '19'
'165', '459', '35', '24'
'185', '459', '6', '7'
'138', '459', '2', '1'
'0', '459', '17', '15'
'392', '458', '8', '8'
'300', '455', '68', '31'
'289', '455', '7', '5'
'241', '455', '24', '12'
'335', '452', '6', '3'
'195', '452', '81', '24'
'103', '452', '21', '29'
'392', '451', '8', '7'
'246', '450', '78', '82'
'78', '449', '41', '41'
'359', '447', '33', '17'
'279', '445', '15', '3'
'327', '444', '5', '6'
'397', '443', '3', '5'
'293', '443', '13', '6'
'58', '443', '5', '9'
'351', '440', '34', '15'
'296', '440', '48', '36'
'0', '440', '18', '20'
'323', '438', '8', '6'
'307', '438', '10', '7'
'112', '438', '199', '85'
'5', '436', '17', '14'
'355', '434', '32', '10'
'0', '433', '9', '3'
'387', '432', '13', '20'
'201', '432', '112', '13'
'343', '431', '14', '23'
'34', '424', '12', '6'
'341', '423', '14', '16'
'10', '415', '102', '63'
'39', '414', '19', '7'
'387', '413', '13', '14'
'315', '413', '2', '20'
'356', '411', '37', '25'
'367', '410', '33', '16'
'15', '400', '26', '21'
'386', '396', '14', '7'
'0', '395', '10', '11'
'370', '391', '30', '19'
'61', '372', '86', '38'
'149', '367', '17', '22'
'5', '356', '56', '58'
'304', '351', '4', '29'
'330', '343', '19', '12'
'314', '333', '16', '101'
'134', '309', '4', '5'
'152', '291', '51', '98'
'328', '276', '3', '14'
'4', '260', '20', '12'
'50', '254', '14', '14'
'325', '252', '12', '38'
'44', '248', '58', '37'
'23', '248', '16', '15'
'350', '241', '15', '15'
'0', '224', '17', '18'
'134', '222', '2', '32'
'130', '222', '14', '37'
'122', '221', '7', '31'
'339', '220', '34', '22'
'329', '209', '12', '45'
'102', '191', '33', '26'
'0', '187', '5', '6'
'50', '157', '30', '32'
'4', '151', '28', '20'
'306', '144', '17', '206'
'310', '140', '18', '296'
'98', '140', '18', '6'
'2', '137', '10', '15'
'185', '121', '20', '189'
'71', '112', '14', '16'
'26', '95', '17', '13'
'47', '86', '24', '21'
'46', '84', '274', '275'
'146', '70', '11', '11'
'314', '27', '36', '29'
'189', '0', '139', '146'
'160', '0', '19', '82'
