'415', '933', '38', '12'
'532', '923', '66', '17'
'498', '922', '55', '18'
'576', '921', '69', '17'
'384', '920', '42', '13'
'460', '919', '51', '20'
'624', '906', '85', '27'
'360', '906', '32', '12'
'370', '893', '8', '17'
'391', '890', '79', '44'
'348', '887', '20', '20'
'813', '881', '3', '13'
'801', '874', '21', '8'
'498', '866', '52', '5'
'397', '843', '47', '22'
'711', '832', '106', '28'
'241', '829', '42', '19'
'371', '827', '20', '14'
'194', '827', '71', '24'
'821', '823', '22', '12'
'359', '820', '12', '7'
'792', '819', '23', '8'
'252', '812', '106', '75'
'148', '810', '21', '9'
'570', '809', '266', '77'
'166', '809', '31', '18'
'310', '799', '128', '79'
'157', '796', '5', '17'
'153', '796', '3', '14'
'294', '772', '107', '70'
'142', '732', '85', '54'
'448', '724', '8', '5'
'415', '714', '32', '14'
'430', '710', '24', '10'
'401', '706', '15', '10'
'149', '703', '290', '167'
'407', '701', '22', '10'
'379', '699', '22', '11'
'372', '698', '4', '3'
'448', '694', '3', '1'
'413', '694', '16', '7'
'405', '691', '7', '4'
'376', '689', '29', '13'
'133', '689', '227', '131'
'397', '688', '7', '5'
'455', '687', '49', '33'
'368', '685', '6', '5'
'390', '684', '6', '5'
'457', '682', '59', '46'
'360', '682', '7', '4'
'431', '680', '67', '31'
'374', '678', '14', '8'
'353', '678', '5', '5'
'513', '676', '6', '5'
'483', '675', '5', '5'
'367', '675', '5', '4'
'156', '674', '3', '5'
'495', '673', '4', '4'
'424', '673', '27', '11'
'151', '673', '9', '16'
'513', '671', '4', '4'
'421', '671', '4', '5'
'358', '671', '7', '5'
'311', '670', '67', '30'
'349', '668', '8', '6'
'344', '665', '6', '4'
'325', '665', '29', '15'
'300', '662', '13', '9'
'469', '661', '9', '13'
'336', '661', '6', '5'
'318', '661', '5', '5'
'494', '659', '2', '3'
'496', '658', '14', '28'
'330', '658', '5', '5'
'503', '657', '11', '12'
'286', '656', '14', '8'
'323', '655', '5', '4'
'316', '652', '7', '4'
'298', '652', '19', '11'
'429', '651', '67', '40'
'331', '650', '156', '51'
'309', '648', '5', '5'
'291', '648', '6', '7'
'497', '646', '6', '10'
'303', '645', '5', '5'
'285', '645', '6', '5'
'493', '642', '5', '16'
'296', '642', '6', '4'
'279', '642', '6', '4'
'273', '639', '5', '4'
'267', '636', '5', '4'
'283', '635', '12', '8'
'296', '634', '34', '18'
'278', '632', '6', '5'
'261', '632', '7', '4'
'255', '628', '6', '5'
'312', '623', '19', '12'
'454', '613', '45', '72'
'574', '612', '31', '24'
'569', '612', '9', '5'
'241', '612', '36', '21'
'561', '607', '16', '4'
'564', '602', '6', '6'
'239', '602', '59', '33'
'462', '601', '29', '58'
'561', '600', '3', '5'
'234', '599', '6', '4'
'203', '597', '51', '33'
'550', '595', '10', '8'
'484', '592', '8', '17'
'486', '591', '3', '4'
'250', '591', '41', '23'
'502', '589', '23', '4'
'243', '588', '7', '5'
'493', '587', '3', '2'
'475', '585', '46', '85'
'537', '584', '5', '4'
'171', '578', '117', '79'
'551', '577', '1', '1'
'525', '574', '43', '42'
'217', '572', '27', '19'
'450', '570', '416', '353'
'396', '567', '24', '7'
'482', '555', '18', '8'
'174', '554', '69', '59'
'482', '552', '31', '18'
'407', '552', '4', '4'
'429', '550', '74', '72'
'426', '550', '12', '4'
'425', '545', '9', '4'
'508', '543', '6', '3'
'181', '541', '35', '32'
'491', '532', '13', '13'
'178', '527', '3', '9'
'444', '521', '8', '12'
'453', '519', '22', '11'
'440', '518', '17', '20'
'182', '518', '1', '2'
'447', '516', '1', '1'
'425', '514', '21', '11'
'384', '510', '157', '63'
'437', '507', '54', '38'
'370', '506', '1', '1'
'408', '505', '34', '16'
'476', '504', '22', '36'
'403', '504', '5', '7'
'474', '500', '1', '1'
'484', '497', '3', '3'
'467', '497', '26', '33'
'363', '496', '73', '12'
'372', '492', '10', '4'
'459', '491', '65', '41'
'442', '476', '1', '1'
'346', '474', '63', '49'
'455', '473', '6', '8'
'374', '464', '18', '11'
'446', '459', '24', '31'
'352', '459', '2', '2'
'372', '448', '115', '41'
'343', '448', '29', '7'
'370', '446', '7', '5'
'340', '445', '7', '12'
'366', '436', '7', '9'
'332', '436', '24', '23'
'350', '435', '10', '16'
'325', '433', '24', '22'
'367', '430', '2', '5'
'321', '429', '156', '79'
'247', '415', '25', '11'
'280', '414', '3', '3'
'261', '413', '19', '18'
'278', '405', '2', '3'
'378', '398', '27', '58'
'402', '395', '68', '60'
'303', '395', '24', '15'
'290', '394', '2', '5'
'294', '387', '8', '10'
'285', '387', '3', '3'
'368', '386', '9', '17'
'455', '384', '5', '3'
'295', '383', '5', '7'
'459', '370', '15', '33'
'360', '366', '2', '4'
'332', '363', '126', '85'
'319', '359', '2', '7'
'286', '355', '2', '5'
'461', '352', '1', '1'
'316', '346', '26', '12'
'459', '343', '6', '8'
'446', '342', '6', '32'
'295', '333', '1', '6'
'457', '325', '8', '17'
'283', '325', '6', '39'
'464', '323', '2', '11'
'363', '317', '3', '7'
'288', '316', '1', '7'
'445', '298', '4', '12'
'316', '296', '30', '25'
'468', '295', '1', '1'
'324', '290', '20', '19'
'288', '290', '2', '7'
'285', '288', '5', '37'
'286', '285', '3', '3'
'331', '283', '23', '37'
'320', '282', '15', '10'
'467', '280', '2', '1'
'314', '279', '27', '23'
'285', '272', '5', '12'
'271', '267', '26', '148'
'464', '262', '2', '2'
'299', '257', '67', '108'
'461', '256', '2', '2'
'286', '255', '12', '16'
'429', '247', '32', '133'
'288', '239', '95', '138'
'312', '223', '160', '212'
'152', '179', '195', '559'
'348', '173', '105', '60'
