'433', '609', '63', '6'
'439', '596', '63', '7'
'339', '592', '24', '3'
'399', '591', '41', '6'
'364', '591', '35', '6'
'338', '588', '4', '2'
'313', '583', '2', '2'
'290', '577', '3', '2'
'497', '574', '15', '8'
'272', '570', '2', '2'
'475', '568', '2', '2'
'255', '562', '3', '3'
'256', '558', '16', '12'
'253', '558', '2', '4'
'201', '557', '45', '10'
'209', '554', '33', '3'
'155', '545', '77', '9'
'172', '527', '44', '18'
'552', '523', '15', '4'
'174', '522', '1', '1'
'176', '520', '12', '5'
'54', '520', '106', '5'
'96', '518', '60', '4'
'172', '512', '80', '49'
'533', '511', '57', '14'
'137', '509', '36', '16'
'563', '508', '37', '25'
'492', '495', '43', '21'
'194', '485', '298', '58'
'273', '404', '280', '189'
'332', '398', '43', '18'
'305', '385', '29', '64'
'333', '381', '26', '11'
'358', '376', '34', '50'
'275', '373', '74', '52'
'315', '372', '56', '38'
'348', '364', '5', '4'
'118', '362', '3', '12'
'337', '354', '4', '4'
'121', '353', '1', '7'
'236', '347', '17', '13'
'251', '346', '97', '60'
'495', '343', '36', '15'
'342', '338', '10', '16'
'263', '338', '17', '14'
'332', '336', '1', '1'
'130', '336', '39', '56'
'222', '332', '7', '10'
'126', '329', '210', '155'
'328', '328', '4', '3'
'250', '325', '77', '10'
'200', '322', '97', '139'
'68', '322', '68', '190'
'367', '320', '47', '92'
'517', '312', '8', '2'
'358', '312', '8', '11'
'481', '307', '89', '55'
'233', '307', '113', '71'
'258', '307', '34', '11'
'543', '305', '11', '5'
'302', '303', '27', '13'
'542', '302', '4', '2'
'204', '302', '34', '12'
'392', '293', '99', '76'
'307', '293', '24', '16'
'208', '290', '114', '38'
'256', '284', '16', '8'
'225', '284', '30', '32'
'481', '283', '61', '26'
'555', '282', '18', '25'
'484', '282', '7', '4'
'240', '281', '36', '11'
'556', '279', '8', '13'
'475', '279', '23', '6'
'564', '277', '3', '11'
'189', '273', '31', '11'
'177', '273', '62', '22'
'320', '272', '10', '18'
'242', '261', '83', '41'
'560', '256', '8', '15'
'332', '255', '266', '257'
'329', '252', '6', '40'
'564', '251', '11', '27'
'478', '250', '82', '40'
'531', '249', '30', '7'
'554', '246', '10', '2'
'565', '243', '7', '7'
'532', '237', '34', '13'
'326', '237', '270', '272'
'505', '235', '27', '13'
'279', '233', '46', '44'
'568', '229', '12', '8'
'328', '227', '262', '279'
'124', '224', '1', '3'
'0', '217', '110', '30'
'503', '214', '7', '5'
'466', '213', '94', '47'
'579', '209', '9', '13'
'185', '205', '30', '18'
'149', '204', '172', '76'
'580', '202', '11', '15'
'181', '200', '6', '14'
'518', '189', '25', '11'
'550', '188', '42', '13'
'487', '186', '2', '4'
'506', '183', '76', '53'
'479', '183', '30', '31'
'509', '179', '17', '31'
'338', '176', '287', '313'
'478', '169', '30', '36'
'110', '164', '34', '35'
'363', '147', '24', '26'
'586', '139', '25', '48'
'484', '139', '55', '45'
'168', '136', '8', '23'
'398', '131', '4', '47'
'573', '107', '98', '142'
'517', '102', '11', '5'
'514', '99', '76', '10'
'141', '88', '15', '19'
'486', '76', '19', '13'
'450', '67', '145', '57'
'441', '64', '92', '108'
'444', '57', '5', '11'
'510', '54', '2', '3'
'453', '46', '12', '23'
'109', '44', '45', '43'
'541', '29', '66', '61'
'521', '25', '3', '3'
'521', '22', '10', '3'
'528', '16', '15', '17'
'133', '6', '10', '5'
'548', '0', '55', '36'
'541', '0', '8', '7'
'461', '0', '164', '106'
'519', '0', '3', '11'
'494', '0', '24', '26'
'307', '0', '157', '249'
'169', '0', '71', '73'
'125', '0', '141', '234'
'126', '0', '22', '37'
'90', '0', '43', '27'
'69', '0', '54', '226'
